Event Number,Over Number,Bowler Name,Batter Name,Run Outcome,Length of Ball,Line of Ball,Shot Type,Shot Placement,
15,5,Dipendra Singh Airee,Babar Azam,0,Defensive Shot,Dab Push,Mid On,Deep Point,
15,4,Dipendra Singh Airee,Babar Azam,0,Slash Defensive Shot,Sweep,Deep Square Leg,Deep Point,
15,3,Dipendra Singh Airee,Babar Azam,0,Slash Push,Stumps,Slog Sweep,Long On,
15,2,Dipendra Singh Airee,Babar Azam,4,Push,Dab Push,Mid On,Deep Point,
15,1,Dipendra Singh Airee,Babar Azam,0,Punch,Off Stump,Sweep,Long On,
14,5,Sandeep Lamichhane,Babar Azam,1,Drive,Slash Push,Mid On,Long On,
14,4,Sandeep Lamichhane,Babar Azam,4,Pull,Stumps,Slog Sweep,Long On,
14,1,Sandeep Lamichhane,Babar Azam,1,Drive,Dab Defense,Mid On,Deep Fine Leg,
13,3,Lalit Rajbanshi,Babar Azam,1,Drive,Stumps,Pull,Deep Mid Wicket,
13,2,Lalit Rajbanshi,Babar Azam,0,Punch,Slash Drive,Mid Off,Long On,
13,1,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Drive,Deep Mid Wicket,Deep Point,
12,6,Sandeep Lamichhane,Babar Azam,1,Punch,Dab Drive,Mid On,Deep Point,
12,5,Sandeep Lamichhane,Babar Azam,0,Defensive Shot,Stumps,Drive,Long On,
11,4,Lalit Rajbanshi,Babar Azam,1,Push,Off Stump,Punch,Point,
11,3,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Drive,Short Cover,
11,2,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Push,Slip,
11,1,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Cut,Deep Cover,
10,4,Gulshan Kumar Jha,Babar Azam,1,Drive,Stumps,Sweep,Deep Square Leg,
10,3,Gulshan Kumar Jha,Babar Azam,0,Defensive Shot,Cut,Deep Point,Deep Square Leg,
10,2,Gulshan Kumar Jha,Babar Azam,0,Defensive Shot,Dab Push,Short Mid Wicket,Deep Square Leg,
10,1,Gulshan Kumar Jha,Babar Azam,0,Defensive Shot,Off Stump,Punch,Deep Cover,
8,2,Gulshan Kumar Jha,Babar Azam,1,Push,Stumps,Push,Third Man,
1,31 1,Lalit Rajbanshi,Babar Azam,1,Full Length,Off Stump,Sweep,Deep Fine Leg,
2,29 3,Lalit Rajbanshi,Babar Azam,1,Good Length,Stumps,Sweep,Deep Fine Leg,
3,29 2,Lalit Rajbanshi,Babar Azam,4,Yorker,Dab Defense,Mid On,Slip,
4,29 1,Lalit Rajbanshi,Babar Azam,0,Good Length,Off Stump,Sweep,Deep Square Leg,
5,28 6,Karan KC,Babar Azam,1,Good Length,Cut,Deep Point,Slip,
6,28 5,Karan KC,Babar Azam,0,Full Length,Dab Push,Short Mid Wicket,Slip,
7,28 4,Karan KC,Babar Azam,4,On Stumps,Off Stump,Punch,Deep Cover,
8,28 3,Karan KC,Babar Azam,0,Off Stump,Off Stump,Cut,Deep Point,
9,28 2,Karan KC,Babar Azam,2,Off Stump,Off Stump,Drive,Long Off,
10,27 2,Sandeep Lamichhane,Babar Azam,1,Off Stump,Stumps,Pull,Deep Mid Wicket,
11,26 6,Lalit Rajbanshi,Babar Azam,0,Good Length,Dab Push,Mid On,Deep Point,
12,26 5,Lalit Rajbanshi,Babar Azam,0,Good Length,Sweep,Deep Square Leg,Deep Point,
13,26 2,Lalit Rajbanshi,Babar Azam,1, good length,Stumps,Slog Sweep,Long On,
14,26 1,Lalit Rajbanshi,Babar Azam,0, full length,Dab Push,Mid On,Deep Point,
15,25 5,Sandeep Lamichhane,Babar Azam,1, full length,Off Stump,Sweep,Long On,
16,25 3,Sandeep Lamichhane,Babar Azam,1,Off break ball,Slash Push,Mid On,Long On,
17,24 4,Lalit Rajbanshi,Babar Azam,1, back of length,Stumps,Slog Sweep,Long On,
18,24 2,Lalit Rajbanshi,Babar Azam,1,brilliant fast ball ,Dab Defense,Mid On,Deep Fine Leg,
19,24 1,Lalit Rajbanshi,Babar Azam,0,fast ball of back of length ,Stumps,Pull,Deep Mid Wicket,
20,23 5,Sandeep Lamichhane,Babar Azam,1, Good length ,Slash Drive,Mid Off,Long On,
21,23 2,Sandeep Lamichhane,Babar Azam,1, Good length ,Drive,Deep Mid Wicket,Deep Point,
22,22 6,Lalit Rajbanshi,Babar Azam,0, Good length,Dab Drive,Mid On,Deep Point,
23,22 5,Lalit Rajbanshi,Babar Azam,0, Back of length ,Stumps,Drive,Long On,
24,22 2,Lalit Rajbanshi,Babar Azam,1, Dot ball !! arm ball,Off Stump,Punch,Point,
25,22 1,Lalit Rajbanshi,Babar Azam,0, Dot ball !! arm ball,Drive,Deep Mid Wicket,Deep Point,
26,21 4,Dipendra Singh Airee,Babar Azam,1, Dot ball !! arm ball,Off Stump,Cut,Deep Cover,
27,21 3,Dipendra Singh Airee,Babar Azam,0,Good Length,Stumps,Sweep,Deep Square Leg,
28,21 2,Dipendra Singh Airee,Babar Azam,4,Good Length,Cut,Deep Point,Deep Square Leg,
29,21 1,Dipendra Singh Airee,Babar Azam,0,Back of Length,Dab Push,Short Mid Wicket,Deep Square Leg,
30,20 4,Lalit Rajbanshi,Babar Azam,1,Good Length,Off Stump,Punch,Deep Cover,
31,20 3,Lalit Rajbanshi,Babar Azam,0,Good Length,Stumps,Push,Third Man,
32,20 2,Lalit Rajbanshi,Babar Azam,0,Good Length,Slash Drive,Short Cover,Slip,
33,20 1,Lalit Rajbanshi,Babar Azam,1,Back of Length,Off Stump,Sweep,Deep Fine Leg,
34,19 5,Dipendra Singh Airee,Babar Azam,1,Good Length,Stumps,Sweep,Deep Fine Leg,
35,19 3,Dipendra Singh Airee,Babar Azam,1,Good Length,Dab Defense,Mid On,Slip,
36,19 2,Dipendra Singh Airee,Babar Azam,0,Off Stump,Off Stump,Sweep,Deep Square Leg,
37,19 1,Dipendra Singh Airee,Babar Azam,0,Good Length,Cut,Deep Point,Slip,
38,18 4,Sandeep Lamichhane,Babar Azam,1,Good Length,Dab Push,Short Mid Wicket,Slip,
39,18 3,Sandeep Lamichhane,Babar Azam,0,Stumps,Off Stump,Punch,Deep Cover,
40,18 2,Sandeep Lamichhane,Babar Azam,0,Good Length,Off Stump,Cut,Deep Point,
41,18 1,Sandeep Lamichhane,Babar Azam,0,Good Length,Off Stump,Drive,Long Off,
42,17 5,Dipendra Singh Airee,Babar Azam,1,Stumps,Stumps,Pull,Deep Mid Wicket,
43,17 4,Dipendra Singh Airee,Babar Azam,0,Good Length,Dab Push,Mid On,Deep Point,
44,17 3,Dipendra Singh Airee,Babar Azam,0,Good Length,Sweep,Deep Square Leg,Deep Point,
45,17 2,Dipendra Singh Airee,Babar Azam,4,Good Length,Stumps,Slog Sweep,Long On,
46,17 1,Dipendra Singh Airee,Babar Azam,0,Good Length,Dab Push,Mid On,Deep Point,
47,16 5,Sandeep Lamichhane,Babar Azam,1,Off Stump,Off Stump,Sweep,Long On,
48,16 3,Sandeep Lamichhane,Babar Azam,1,Off Stump,Slash Push,Mid On,Long On,
49,16 2,Sandeep Lamichhane,Babar Azam,0,Good Length,Stumps,Slog Sweep,Long On,
